trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-48.19950758272759,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-117.75948048036004,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-138.3819267112911,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-64.77672075070616,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-113.8562331107183,"{0: 20, 1: 3, 2: 4, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",35,14,-114.88580012670576,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 2}",1
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,14,-25.86959891826196,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-54.541821740740794,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-18.363975930956247,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-105.94398305061205,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-55.97396382100005,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,10,-66.91790034067552,"{0: 5, 1: 1, 2: 3, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-2.1926042792524836,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-44.261342719444905,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",25,0,-5.607848559772683,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,0,-18.101468974716127,"{0: 26, 1: 1, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-33.750203692424265,"{0: 14, 1: 4, 2: 1, 3: 1, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,0,-51.76681248684263,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-54.79329168118108,"{0: 25, 1: 1, 2: 2, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-116.85605075722631,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
1,True,"{'a': 0, 'e': 0}",20,7,18.657553489066103,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,0,-10.318261756008347,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,0,2.720438344824646,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",30,0,-62.07466252602581,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,0,3.9299998635595426,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,16,-24.586101343195814,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,True,"{'a': 0, 'e': 0}",25,0,1.0949449804891018,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",35,0,-42.20820876053989,"{0: 33, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",25,0,-102.71506193861528,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
10,True,"{'a': 0, 'e': 0}",30,0,-20.236197609965963,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
