trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9995}",20,0,-113.52405921746332,"{0: 11, 1: 1, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.99875}",20,0,-119.85176966297088,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.99775}",25,2,-127.10762271946629,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 2}",1
4,False,"{'a': 0.5, 'e': 0.9965}",25,0,-101.42279044120843,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9950000000000001}",25,0,-104.04700822116641,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9932500000000001}",20,0,-105.06701749094285,"{0: 12, 1: 4, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.9912500000000001}",20,0,-51.71805785534795,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9890000000000001}",25,0,-147.91295195615908,"{0: 16, 1: 2, 2: 4, 3: 0, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.9865000000000002}",25,0,-121.19749826089276,"{0: 14, 1: 1, 2: 7, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9837500000000001}",20,0,-132.65561957495402,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9807500000000001}",20,3,-46.882865731947625,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.9775000000000001}",30,16,-91.8742765818256,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.9740000000000002}",30,0,-153.58914105323248,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.9702500000000002}",20,4,-112.39291065300006,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 2}",1
15,False,"{'a': 0.5, 'e': 0.9662500000000002}",20,0,-131.37236043608436,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9620000000000002}",20,0,-50.232349345423344,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.9575000000000002}",20,0,-102.53237899931821,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.9527500000000002}",30,0,-72.41231455581196,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9477500000000002}",20,0,-143.36203355201278,"{0: 11, 1: 2, 2: 3, 3: 2, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.9425000000000002}",25,1,-54.586118259274656,"{0: 17, 1: 2, 2: 3, 3: 2, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.9370000000000003}",20,0,-200.41584937200327,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 5}",0
22,False,"{'a': 0.5, 'e': 0.9312500000000002}",30,11,-75.62667529281862,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 0}",1
23,False,"{'a': 0.5, 'e': 0.9252500000000002}",20,0,-91.07309493494334,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9190000000000003}",20,0,-30.93842954952534,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.9125000000000003}",30,0,-274.2733973992846,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 5}",0
26,False,"{'a': 0.5, 'e': 0.9057500000000003}",30,0,-211.33532565255578,"{0: 18, 1: 2, 2: 6, 3: 0, 4: 4}",0
27,False,"{'a': 0.5, 'e': 0.8987500000000003}",30,0,-155.1159062669237,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.8915000000000003}",20,1,-61.090429268989695,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.8840000000000003}",20,0,-132.86291513861593,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8762500000000003}",25,0,-139.64691855647504,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8682500000000003}",35,0,-62.09815269550456,"{0: 27, 1: 2, 2: 5, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.8600000000000003}",25,0,-96.87064097282631,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
33,False,"{'a': 0.5, 'e': 0.8515000000000004}",30,0,-224.74012558183333,"{0: 16, 1: 3, 2: 5, 3: 3, 4: 3}",0
34,False,"{'a': 0.5, 'e': 0.8427500000000003}",25,0,-7.47964321709865,"{0: 21, 1: 2, 2: 2, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.8337500000000003}",20,0,-81.18598168291189,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.8245000000000003}",30,0,-208.948803987802,"{0: 19, 1: 2, 2: 4, 3: 1, 4: 4}",0
37,False,"{'a': 0.5, 'e': 0.8150000000000004}",35,0,-253.756630454748,"{0: 18, 1: 5, 2: 7, 3: 1, 4: 4}",0
38,False,"{'a': 0.5, 'e': 0.8052500000000004}",25,0,-163.26057463668064,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.7952500000000003}",20,4,-3.285052108136837,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.7850000000000004}",30,0,-107.74659914378455,"{0: 17, 1: 6, 2: 6, 3: 0, 4: 1}",0
41,False,"{'a': 0.5, 'e': 0.7745000000000004}",30,0,-121.37910273880013,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.7637500000000004}",25,0,-92.25901861957729,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
43,False,"{'a': 0.5, 'e': 0.7527500000000004}",20,1,-1.827945491688895,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 0}",1
44,False,"{'a': 0.5, 'e': 0.7415000000000004}",25,0,-147.14393489824172,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 3}",0
45,False,"{'a': 0.5, 'e': 0.7300000000000004}",20,7,21.511661978773244,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.5, 'e': 0.7182500000000004}",25,18,6.976212692842813,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.7062500000000004}",30,9,-29.178142497380765,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6940000000000004}",25,7,-62.72874100810881,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 1}",1
49,False,"{'a': 0.5, 'e': 0.6815000000000004}",30,2,-211.7012299942355,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 4}",1
50,False,"{'a': 0.5, 'e': 0.6687500000000004}",20,0,-55.73285329786074,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.6557500000000004}",20,7,-111.36037895185208,"{0: 5, 1: 0, 2: 6, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.6425000000000004}",35,0,-78.34550882001706,"{0: 26, 1: 1, 2: 7, 3: 0, 4: 1}",0
53,False,"{'a': 0.5, 'e': 0.6290000000000004}",30,0,-119.76931590941581,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.6152500000000004}",25,0,-71.08157531512107,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
55,False,"{'a': 0.5, 'e': 0.6012500000000004}",25,0,-92.83210455871392,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5870000000000004}",20,0,-52.39595060132808,"{0: 11, 1: 4, 2: 5, 3: 0, 4: 0}",0
57,False,"{'a': 0.5, 'e': 0.5725000000000005}",20,0,-46.07957077187697,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
