trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.4455}",20,0,-159.05271526101046,"{0: 8, 1: 1, 2: 8, 3: 2, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.441045}",25,0,-138.09986334782823,"{0: 14, 1: 5, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.43663455}",30,6,-66.13544670702282,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.43226820450000003}",25,6,-50.84033520663149,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.427945522455}",20,0,-150.20444900701915,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.42366606723045}",30,0,-46.69498383274528,"{0: 20, 1: 6, 2: 4, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.41942940655814553}",20,0,-47.22073653920239,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.41523511249256406}",20,0,-92.86691835954603,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.41108276136763844}",25,0,-124.55016451173368,"{0: 17, 1: 1, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.40697193375396207}",20,0,-65.86563660205245,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.40290221441642243}",30,7,-97.15034872166454,"{0: 15, 1: 0, 2: 6, 3: 1, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.3988731922722582}",20,0,-28.131471129556047,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.3948844603495356}",25,1,-138.03208975777102,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 2}",1
14,False,"{'a': 0.5, 'e': 0.39093561574604024}",25,0,-97.53686915083097,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.38702625958857984}",25,0,-76.72797341023448,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.38315599699269404}",30,0,-212.88484821755583,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.3793244370227671}",25,0,-118.19206992921563,"{0: 11, 1: 6, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.3755311926525394}",20,0,-157.40735353993645,"{0: 9, 1: 3, 2: 5, 3: 1, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.37177588072601403}",20,0,-80.71057899310652,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.36805812191875387}",20,14,-3.973806843824434,"{0: 4, 1: 2, 2: 0, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,0,-158.95398389525892,"{0: 10, 1: 2, 2: 4, 3: 2, 4: 2}",0
2,True,"{'a': 0, 'e': 0}",20,0,-144.35932711253835,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",20,0,-60.20258787975536,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-153.30666308123648,"{0: 15, 1: 1, 2: 5, 3: 2, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",25,0,-40.7641091072477,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",25,0,-98.99187397909395,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-161.73597623902566,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",20,0,-40.42099955078601,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",30,0,-274.85982123671033,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 5}",0
10,True,"{'a': 0, 'e': 0}",30,0,-85.74903250040566,"{0: 19, 1: 3, 2: 7, 3: 1, 4: 0}",0
